keys,mouse_distance,tab_switches,backspace,fatigue_score,risk_index
7,1063.59,1,3,7.1811,2
10,213.52,0,1,2.1397,0
18,496.3,1,2,5.7664,1
24,671.11,0,1,1.3852,0
26,602.85,0,1,1.3467,0
22,289.05,0,2,3.6096,1
20,459.33,1,1,3.3055,1
26,466.0,0,1,1.2694,0
18,617.11,1,1,3.8446,1
22,594.78,0,2,3.7821,1
18,387.31,0,2,3.665,1
23,748.37,0,1,1.4288,0
0,167.58,0,0,0.854,0
16,643.13,1,1,3.8593,1
23,353.59,0,2,3.646,1
21,548.11,0,1,1.3158,0
21,649.36,1,0,2.1548,0
21,638.88,0,1,1.367,0
18,396.52,0,1,1.2302,0
19,828.89,0,1,1.4743,0
25,129.77,0,1,1.108,0
21,628.97,0,1,1.3614,0
24,423.28,0,1,1.2453,0
24,457.91,1,2,5.7447,1
0,135.34,0,1,1.35,0
22,531.33,0,1,1.3063,0
18,534.88,0,2,3.7483,1
18,600.49,0,0,0.0,0
18,416.02,0,1,1.2412,0
22,1123.65,0,2,4.5684,1
22,646.38,0,0,0.0,0
18,482.46,0,1,1.2787,0
13,209.01,0,0,0.3437,0
22,300.79,1,1,3.216,1
26,421.62,0,0,0.0,0
15,454.8,0,0,0.0,0
0,222.71,0,0,0.8781,0
24,119.99,0,2,3.548,1
21,369.29,0,2,3.6548,1
20,383.51,0,1,1.2229,0
20,852.39,0,1,1.4866,0
15,539.44,1,0,1.6427,0
27,683.72,0,0,0.0,0
27,238.47,2,0,3.4636,1
15,414.24,0,0,0.0,0
23,451.11,0,2,3.701,1
15,568.97,0,0,0.0,0
30,1141.05,0,2,4.5711,1
0,151.15,0,1,1.35,0
21,321.15,0,1,1.1877,0
17,469.03,0,0,0.0,0
21,465.1,1,0,1.6008,0
12,393.01,0,0,0.4761,0
28,888.94,0,2,3.9322,1
18,239.31,1,0,1.4733,0
16,968.26,0,0,0.0,0
24,301.36,1,0,1.5083,0
22,465.54,1,2,5.749,1
17,1052.04,0,1,2.1173,0
14,537.97,0,0,0.501,0
0,277.6,0,1,1.35,0
19,562.88,0,0,0.0,0
21,409.6,0,0,0.0,0
22,837.87,0,0,0.0,0
14,199.0,0,0,0.3096,0
29,460.51,0,0,0.0,0
27,256.45,0,0,0.0,0
23,413.19,0,1,1.2396,0
19,574.27,0,0,0.0,0
20,641.67,1,0,2.1504,0
20,314.49,1,1,3.2238,1
16,426.49,0,1,1.2471,0
0,114.1,0,1,1.35,0
18,427.91,0,0,0.0,0
23,794.23,0,3,4.1287,1
17,450.75,0,1,1.2608,0
21,261.43,0,1,1.154,0
21,1053.84,0,0,0.4096,0
16,436.78,0,1,1.2529,0
17,569.43,0,1,1.3278,0
16,356.09,0,1,1.2074,0
19,266.27,0,2,3.5967,1
31,383.52,1,0,1.5547,0
26,479.26,0,2,3.7169,1
0,98.63,0,1,1.35,0
31,216.77,1,1,3.1686,1
29,1139.11,2,0,5.1534,1
18,1067.25,0,2,4.5597,1
19,671.01,0,0,0.0,0
18,470.56,0,0,0.0,0
19,441.39,0,0,0.0,0
17,603.74,0,1,1.3472,0
21,577.39,1,1,3.3722,1
20,341.26,0,0,0.0,0
20,960.5,0,1,1.5032,0
22,332.13,0,0,0.0,0
0,288.73,0,1,1.35,0
26,557.8,0,1,1.3213,0
11,704.04,1,2,7.3179,2
14,396.26,1,1,4.1688,1
20,435.72,1,1,3.2922,1
19,533.56,0,2,3.7476,1
7,447.89,1,1,4.3972,1
21,418.18,0,1,1.2424,0
22,880.02,0,0,0.0,0
24,427.72,0,1,1.2478,0
21,426.42,0,1,1.2471,0
29,759.03,1,1,3.9247,1
0,451.83,0,1,1.35,0
22,682.16,0,1,1.3915,0
20,346.57,0,1,1.202,0
14,672.12,0,4,4.9077,1
20,757.67,0,0,0.0,0
29,660.77,0,2,3.8194,1
20,242.16,0,2,3.5831,1
28,640.26,1,1,3.8576,1
15,1049.83,0,1,2.117,0
22,754.17,0,1,1.4321,0
9,566.96,0,1,2.3677,0
22,855.57,0,1,1.4871,0
0,194.98,0,1,1.35,0
12,824.71,0,1,2.4278,0
24,374.39,0,0,0.0,0
25,551.23,0,2,3.7576,1
21,310.06,1,1,3.2213,1
19,584.35,0,0,0.0,0
15,472.5,1,0,1.6049,0
16,319.1,0,0,0.0,0
24,502.51,1,1,3.3299,1
24,685.2,2,1,5.8738,1
32,454.86,0,0,0.0,0
28,399.31,0,1,1.2318,0
0,404.05,0,0,0.9805,0
12,224.64,1,1,4.1289,1
16,596.72,0,2,3.7832,1
21,189.19,0,2,3.5532,1
20,396.21,1,2,5.7099,1
24,530.41,0,0,0.0,0
21,616.61,0,0,0.0,0
19,543.29,1,0,1.6449,0
18,614.66,1,0,2.1352,0
19,682.49,1,1,3.8815,1
14,173.92,0,2,4.4469,1
17,664.88,1,2,6.3115,2
0,281.76,0,1,1.35,0
27,1119.1,0,0,0.4197,0
27,520.27,0,0,0.0,0
17,174.28,1,0,1.4398,0
18,676.79,0,3,4.0624,1
13,586.42,1,0,2.5966,0
22,471.16,0,1,1.2724,0
25,366.9,0,1,1.2135,0
15,356.06,0,1,1.2074,0
19,572.31,1,1,3.3693,1
27,424.59,0,1,1.2461,0
25,427.07,0,1,1.2475,0
0,302.17,0,1,1.35,0
19,576.73,1,1,3.3718,1
30,515.26,1,0,1.6291,0
30,313.95,1,1,3.2235,1
22,316.66,1,0,1.517,0
10,254.18,1,0,2.4945,0
19,926.19,0,0,0.0,0
15,576.5,0,1,1.3318,0
19,540.77,0,0,0.0,0
18,734.05,0,1,1.4207,0
20,1071.49,1,1,4.6102,1
27,520.13,0,2,3.74,1
0,253.75,0,1,1.35,0
16,594.67,0,1,1.3421,0
23,738.76,1,2,6.3532,2
19,599.87,0,1,1.345,0
25,97.09,1,2,5.5878,1
10,171.09,0,1,2.1208,0
24,517.39,0,1,1.2984,0
17,1032.49,0,1,2.1143,0
17,602.32,1,0,2.1282,0
19,521.89,0,0,0.0,0
24,575.82,0,1,1.3314,0
17,697.52,0,2,3.8401,1
0,153.28,0,1,1.35,0
16,793.87,0,0,0.0,0
27,402.64,0,0,0.0,0
21,556.81,0,1,1.3207,0
18,292.95,0,2,3.6118,1
22,155.53,0,2,3.548,1
17,752.52,0,1,1.4312,0
16,128.98,1,2,5.5878,1
21,460.57,0,1,1.2664,0
19,544.75,0,0,0.0,0
24,645.79,1,2,6.3008,2
23,565.21,0,2,3.7654,1
0,250.42,0,0,0.8938,0
16,272.9,1,0,1.4923,0
16,484.45,0,2,3.7199,1
20,331.58,1,0,1.5254,0
24,464.88,0,1,1.2688,0
23,541.35,1,0,1.6438,0
20,557.65,0,0,0.0,0
21,179.94,0,2,3.548,1
26,444.45,0,1,1.2573,0
8,245.6,1,1,4.2546,1
15,657.17,1,1,3.8672,1
14,1223.54,0,2,4.8827,1
0,125.54,0,1,1.35,0
21,900.69,1,1,3.9839,1
18,136.61,0,0,0.0,0
18,385.47,1,2,5.7038,1
21,109.51,0,1,1.108,0
17,780.38,0,1,1.4469,0
17,619.05,0,2,3.7958,1
22,129.17,1,0,1.4398,0
21,551.76,1,1,3.3577,1
16,217.82,0,2,3.5693,1
21,364.93,0,1,1.2124,0
18,507.06,2,1,5.3233,1
0,191.84,0,1,1.35,0
17,409.44,0,1,1.2375,0
15,0.0,0,1,1.108,0
33,410.84,0,1,1.2383,0
18,437.03,0,1,1.2531,0
14,627.5,1,1,4.7493,1
13,653.82,0,3,4.3768,1
21,425.79,1,1,3.2866,1
23,119.25,0,0,0.0,0
18,906.52,0,0,0.0,0
28,257.18,0,0,0.0,0
22,308.81,0,2,3.6207,1
0,393.38,0,1,1.35,0
18,127.77,1,1,3.1478,1
15,424.68,0,2,3.6861,1
11,144.56,1,2,6.5721,2
17,629.34,0,1,1.3616,0
16,210.3,0,0,0.0,0
22,1024.17,0,1,2.113,0
22,463.28,0,1,1.2679,0
23,775.38,0,1,1.4441,0
18,394.6,0,1,1.2291,0
27,399.06,0,2,3.6717,1
22,445.93,0,0,0.0,0
0,12.3,0,1,1.35,0
16,0.0,0,1,1.108,0
15,455.76,0,1,1.2637,0
19,273.22,0,1,1.1606,0
25,285.29,0,1,1.1674,0
23,451.26,0,0,0.0,0
20,654.37,0,1,1.3758,0
20,453.65,1,0,1.5943,0
12,650.86,0,1,2.3296,0
15,478.84,1,0,1.6085,0
9,170.74,0,2,4.5892,1
27,562.17,0,0,0.0,0
0,134.58,0,1,1.35,0
14,598.52,0,0,0.5351,0
23,458.71,0,2,3.7053,1
21,671.11,1,0,2.1671,0
12,5.6,0,0,0.3558,0
26,275.46,0,2,3.6019,1
20,704.78,1,1,3.8941,1
23,418.22,1,4,6.5053,2
20,434.16,0,1,1.2515,0
30,1395.4,0,0,0.4622,0
24,640.72,0,1,1.3681,0
26,639.78,0,0,0.0,0
0,330.06,0,1,1.35,0
14,518.4,0,1,2.1979,0
28,880.38,0,2,3.9309,1
21,797.14,0,0,0.0,0
21,259.44,0,0,0.0,0
20,213.42,0,0,0.0,0
20,895.46,0,1,1.4932,0
20,554.73,0,0,0.0,0
19,261.87,1,0,1.4861,0
16,224.93,0,0,0.0,0
22,106.92,0,0,0.0,0
25,733.03,0,2,3.8602,1
0,264.28,0,1,1.35,0
16,261.59,0,0,0.0,0
22,783.21,1,1,3.9383,1
19,226.27,0,1,1.1341,0
21,455.54,0,1,1.2635,0
21,389.13,1,0,1.5579,0
22,411.56,0,1,1.2387,0
21,249.33,0,0,0.0,0
27,244.34,0,1,1.1443,0
11,506.4,0,0,0.5685,0
19,767.12,0,1,1.4394,0
22,843.52,0,0,0.0,0
0,218.22,0,1,1.35,0
16,428.22,1,0,1.58,0
29,1081.79,0,0,0.4139,0
29,479.47,1,1,3.3169,1
22,1199.35,0,1,2.14,0
16,713.18,0,1,1.409,0
18,699.89,1,0,2.1833,0
21,503.08,0,0,0.0,0
22,73.87,0,2,3.548,1
15,182.69,1,1,3.1494,1
20,347.43,1,1,3.2424,1
13,410.47,0,0,0.4575,0
0,254.88,0,0,0.8963,0
21,278.26,1,2,5.6433,1
20,83.77,1,0,1.4398,0
20,451.39,0,1,1.2612,0
20,549.62,0,2,3.7566,1
14,242.17,0,0,0.334,0
21,773.89,0,1,1.4432,0
7,125.12,0,1,2.2062,0
17,410.15,0,0,0.0,0
18,730.85,0,1,1.4189,0
16,605.35,1,0,2.1299,0
22,522.56,0,1,1.3014,0
0,434.71,0,1,1.35,0
30,450.41,1,1,3.3005,1
20,263.23,0,1,1.155,0
22,622.23,0,0,0.0,0
25,754.65,0,1,1.4324,0
15,616.47,1,1,3.8442,1
16,430.06,0,0,0.0,0
17,1086.29,1,0,2.9045,0
22,448.9,0,0,0.0,0
20,598.63,0,0,0.0,0
28,568.12,0,0,0.0,0
14,480.67,0,2,4.6166,1
0,355.26,0,0,0.9529,0
21,695.01,1,1,3.8886,1
26,563.66,0,1,1.3246,0
22,0.0,0,2,3.548,1
2,120.84,1,0,3.3371,1
22,244.27,0,0,0.0,0
27,393.51,0,1,1.2285,0
20,589.77,1,0,1.6711,0
21,279.48,0,1,1.1642,0
20,199.76,0,2,3.5592,1
16,703.36,1,0,2.1853,0
19,476.64,0,0,0.0,0
0,327.85,0,1,1.35,0
15,743.03,0,0,0.0,0
13,597.64,0,1,2.2711,0
12,550.49,1,0,2.6048,0
22,639.04,0,2,3.8071,1
22,433.42,0,1,1.251,0
24,825.44,0,1,1.4723,0
27,475.86,0,2,3.715,1
24,526.66,1,1,3.3435,1
24,486.96,1,1,3.3211,1
18,639.46,0,0,0.0,0
22,647.42,0,0,0.0,0
0,1053.8,0,1,2.9716,0
14,817.31,0,1,2.3666,0
12,270.09,1,1,4.1545,1
20,439.75,1,0,1.5865,0
23,574.77,1,2,5.8107,1
22,635.55,0,1,1.3651,0
18,20.35,0,0,0.0,0
20,730.02,0,2,3.8585,1
21,389.92,0,0,0.0,0
17,499.69,1,1,3.3283,1
17,677.25,1,2,6.3185,2
15,714.26,0,1,1.4096,0
0,271.21,0,1,1.35,0
16,381.71,0,2,3.6619,1
15,596.25,1,0,1.6748,0
19,524.12,0,0,0.0,0
13,823.84,0,1,2.3988,0
22,526.04,0,1,1.3033,0
19,819.89,0,1,1.4692,0
26,358.24,1,0,1.5405,0
15,600.11,0,0,0.0,0
20,456.69,1,1,3.304,1
19,149.59,0,2,3.548,1
25,790.18,0,1,1.4524,0
0,417.88,0,1,1.35,0
21,466.73,0,1,1.2699,0
20,524.29,0,1,1.3023,0
13,160.4,0,0,0.3274,0
19,368.86,0,1,1.2146,0
24,1385.89,0,2,4.6088,1
28,608.8,0,2,3.79,1
26,748.62,0,1,1.429,0
23,614.33,1,0,2.135,0
24,201.72,1,2,5.6001,1
27,684.85,0,1,1.393,0
19,246.51,0,2,3.5855,1
0,271.22,0,1,1.35,0
26,420.52,1,0,1.5756,0
15,599.07,0,0,0.0,0
16,448.12,1,0,1.5912,0
19,889.7,0,0,0.0,0
19,38.56,0,0,0.0,0
19,349.11,1,0,1.5353,0
19,783.46,0,1,1.4486,0
20,480.46,0,1,1.2776,0
29,0.0,1,1,3.1478,1
17,503.2,0,2,3.7304,1
22,415.47,0,0,0.0,0
0,373.32,0,0,0.9631,0
21,711.78,1,0,2.19,0
17,653.52,1,0,2.1571,0
20,824.05,1,2,6.4014,2
13,238.84,0,1,2.0686,0
19,168.39,0,1,1.108,0
16,1040.63,0,1,2.1156,0
18,420.01,1,1,3.2833,1
10,474.29,0,1,2.2869,0
20,147.95,0,1,1.108,0
21,1019.29,0,1,2.1123,0
24,323.95,1,2,5.6691,1
0,258.83,0,0,0.8985,0
18,580.38,0,1,1.334,0
19,836.99,0,2,3.9189,1
19,665.03,0,0,0.0,0
30,229.84,0,0,0.0,0
27,267.18,0,1,1.1572,0
18,592.45,0,0,0.0,0
17,351.67,0,0,0.0,0
16,1001.96,0,0,0.4016,0
24,392.4,0,2,3.6679,1
16,0.0,1,1,3.1478,1
11,5.05,0,1,2.0923,0
0,405.75,0,0,0.9814,0
20,783.92,0,1,1.4489,0
24,301.8,0,1,1.1768,0
24,373.14,0,1,1.217,0
25,379.1,1,2,5.7002,1
20,571.94,1,1,3.3691,1
20,625.52,0,0,0.0,0
28,780.94,0,1,1.4472,0
28,383.19,0,1,1.2227,0
20,409.33,1,2,5.7173,1
19,156.94,1,1,3.1478,1
28,324.68,0,1,1.1897,0
0,180.21,0,0,0.8541,0
24,491.52,0,1,1.2838,0
18,719.85,0,2,3.8527,1
24,1033.15,0,1,2.1144,0
16,645.66,1,0,2.1527,0
23,838.13,0,1,1.4795,0
18,582.07,1,2,5.8148,1
20,368.06,0,2,3.6542,1
22,452.03,0,0,0.0,0
9,56.9,0,0,0.4412,0
20,555.1,0,2,3.7597,1
20,940.77,0,2,3.9402,1
0,278.67,0,3,5.3417,1
18,413.19,0,1,1.2396,0
21,686.01,0,2,3.8336,1
17,245.36,1,1,3.1847,1
20,41.43,0,2,3.548,1
24,444.76,0,2,3.6975,1
15,771.24,1,0,2.2236,0
18,240.4,1,1,3.1819,1
17,588.87,0,0,0.0,0
29,455.35,1,1,3.3033,1
13,761.89,0,0,0.6558,0
17,495.11,1,1,3.3257,1
0,285.16,0,1,1.35,0
21,150.44,0,1,1.108,0
24,86.84,0,0,0.0,0
24,559.42,0,0,0.0,0
29,603.08,1,1,3.8367,1
34,452.96,0,0,0.0,0
22,596.58,0,0,0.0,0
15,1008.17,0,1,2.1106,0
16,1311.04,0,1,2.1572,0
23,215.79,1,2,5.608,1
24,920.85,0,2,3.9371,1
18,388.44,0,2,3.6657,1
0,232.06,0,1,1.35,0
18,701.59,0,2,3.8424,1
24,416.47,0,0,0.0,0
14,792.3,0,2,4.7925,1
25,166.75,0,2,3.548,1
22,146.84,1,0,1.4398,0
22,622.34,0,1,1.3577,0
21,824.19,0,1,1.4716,0
6,430.16,1,0,3.2577,1
14,520.72,0,0,0.4912,0
22,298.52,0,2,3.6149,1
27,380.64,0,0,0.0,0
0,54.17,0,0,0.854,0
23,459.85,1,3,5.9798,2
13,760.16,1,1,4.8527,1
19,391.84,0,0,0.0,0
23,556.3,0,0,0.0,0
20,612.9,0,1,1.3524,0
31,155.06,1,1,3.1478,1
27,312.53,1,1,3.2227,1
25,713.65,0,2,3.8492,1
19,453.93,0,1,1.2626,0
27,539.89,0,0,0.0,0
24,702.65,0,1,1.403,0
0,342.0,0,1,1.35,0
19,683.95,1,0,2.1743,0
21,481.64,1,1,3.3181,1
5,225.59,0,1,2.2888,0
17,579.33,0,1,1.3334,0
27,468.31,0,0,0.0,0
32,833.62,0,2,3.917,1
17,428.38,1,2,5.728,1
9,1397.24,3,4,10.0,2
9,2097.89,2,5,10.0,2
15,1592.9,2,5,10.0,2
7,1278.02,2,4,10.0,2
12,1510.47,1,5,8.7057,2
5,1128.94,2,5,10.0,2
10,1792.51,2,5,10.0,2
3,1450.4,2,3,10.0,2
16,1121.14,3,2,10.0,2
15,1616.99,2,4,10.0,2
10,1585.79,1,5,8.7742,2
7,1728.3,2,4,10.0,2
10,1546.47,2,3,10.0,2
9,1338.14,3,5,10.0,2
8,1212.96,2,5,10.0,2
6,1685.11,2,4,10.0,2
8,1337.6,3,3,10.0,2
10,1444.95,2,3,10.0,2
3,1488.79,1,5,10.0,2
10,1517.66,1,4,7.7147,2
12,980.66,3,3,10.0,2
10,1314.13,2,4,10.0,2
9,1207.07,2,6,10.0,2
9,1451.02,2,5,10.0,2
13,1811.62,2,2,10.0,2
3,1660.49,2,4,10.0,2
10,1755.18,2,6,10.0,2
16,1250.55,1,5,8.3098,2
4,1258.13,2,6,10.0,2
9,1718.38,1,4,7.7741,2
11,1854.6,2,6,10.0,2
7,1643.31,2,2,10.0,2
5,1311.67,2,6,10.0,2
8,1142.26,1,5,8.7628,2
7,1700.6,2,6,10.0,2
9,1398.07,2,2,10.0,2
7,1201.82,2,3,10.0,2
8,1197.5,2,3,10.0,2
12,1087.35,2,3,10.0,2
9,1588.79,2,3,10.0,2
5,1171.78,2,2,10.0,2
13,924.31,3,2,10.0,2
13,1460.21,2,6,10.0,2
7,1468.96,2,5,10.0,2
2,1745.12,1,2,8.4512,2
8,1139.53,2,6,10.0,2
9,1310.31,1,6,9.0042,2
11,1583.42,2,6,10.0,2
14,1222.43,1,5,8.6043,2
13,1828.78,1,3,7.1249,2
9,1853.11,2,3,10.0,2
10,2139.52,2,6,10.0,2
9,1488.93,2,2,10.0,2
7,1638.35,3,3,10.0,2
4,1584.24,2,2,10.0,2
11,1512.1,2,7,10.0,2
13,1550.03,2,6,10.0,2
2,1913.52,2,2,10.0,2
13,1182.83,1,5,8.6267,2
10,1495.57,2,5,10.0,2
13,1041.04,3,4,10.0,2
10,1447.02,3,5,10.0,2
11,872.33,2,2,9.1446,2
5,1513.9,2,4,10.0,2
13,1453.55,3,5,10.0,2
8,1830.95,2,5,10.0,2
8,1438.52,2,2,10.0,2
11,1042.45,1,5,8.662,2
10,2120.61,2,3,10.0,2
9,1967.55,1,6,9.0862,2
7,1558.23,2,6,10.0,2
10,1318.34,2,3,10.0,2
5,1535.13,2,3,10.0,2
9,1080.09,2,5,10.0,2
11,1311.24,3,2,10.0,2
5,1233.39,2,4,10.0,2
13,1333.73,2,3,10.0,2
8,1564.47,3,3,10.0,2
12,1360.95,2,5,10.0,2
9,1140.69,2,5,10.0,2
10,1750.72,2,4,10.0,2
17,1048.19,2,2,9.6374,2
6,1371.72,1,5,9.4051,2
7,1561.57,1,4,7.8069,2
10,1766.48,1,6,9.046,2
8,908.31,3,4,10.0,2
9,1236.7,1,6,8.9929,2
8,1362.61,3,2,10.0,2
5,1772.3,1,2,8.2633,2
8,1999.97,1,2,7.6399,2
10,1255.46,2,4,10.0,2
10,1509.76,2,6,10.0,2
9,1444.26,3,7,10.0,2
8,1737.8,1,4,7.8056,2
9,1286.86,2,3,10.0,2
8,1884.12,2,6,10.0,2
6,1674.52,2,6,10.0,2
8,1581.59,2,3,10.0,2
12,1298.63,2,6,10.0,2
8,1352.93,2,3,10.0,2
11,1944.59,2,5,10.0,2
6,1518.31,2,5,10.0,2
7,1336.18,3,2,10.0,2
6,1462.49,2,2,10.0,2
12,1261.38,3,5,10.0,2
8,1518.72,3,4,10.0,2
15,1791.07,2,6,10.0,2
5,1554.77,2,5,10.0,2
14,1710.39,2,4,10.0,2
2,2088.37,2,4,10.0,2
13,1086.08,2,2,9.9706,2
13,1068.83,2,2,9.9679,2
10,1421.8,2,5,10.0,2
9,1414.9,3,2,10.0,2
8,1384.82,2,5,10.0,2
11,1420.85,2,4,10.0,2
10,1000.56,2,6,10.0,2
9,1510.32,2,6,10.0,2
4,986.8,2,3,10.0,2
9,1544.25,2,4,10.0,2
11,1742.49,1,4,7.7209,2
9,952.0,2,6,10.0,2
13,1667.59,2,6,10.0,2
12,1723.74,2,6,10.0,2
7,1441.12,2,5,10.0,2
10,1209.49,2,4,10.0,2
11,1522.87,2,5,10.0,2
9,1884.35,3,3,10.0,2
8,1502.86,2,2,10.0,2
5,1159.32,1,5,10.0,2
10,1209.24,1,2,7.4842,2
11,1333.2,2,5,10.0,2
9,1674.75,1,2,7.5844,2
7,1456.15,1,6,9.0836,2
11,1136.79,2,4,10.0,2
6,1867.25,2,6,10.0,2
17,1540.88,2,2,9.7133,2
8,1561.25,3,3,10.0,2
8,1819.47,1,4,7.8159,2
4,1689.76,3,4,10.0,2
14,1077.22,2,2,9.9408,2
14,1381.23,2,2,9.9876,2
3,1569.35,2,5,10.0,2
10,1094.09,2,5,10.0,2
13,1296.37,2,5,10.0,2
3,1430.73,4,3,10.0,2
5,1617.78,1,2,8.2395,2
6,1355.81,2,3,10.0,2
11,1466.19,2,6,10.0,2
6,1508.42,3,5,10.0,2
8,1613.22,2,6,10.0,2
11,1643.48,1,6,8.9986,2
13,707.62,2,4,9.9868,2
13,1417.51,2,5,10.0,2
6,1767.0,1,6,9.71,2
13,1485.67,2,3,10.0,2
8,1235.52,1,3,7.1792,2
12,1053.02,2,4,10.0,2
7,1836.31,1,3,7.296,2
14,1491.34,1,6,8.8898,2
7,1291.58,2,6,10.0,2
10,1180.74,2,6,10.0,2
8,1031.26,2,5,10.0,2
7,1273.48,2,4,10.0,2
10,1563.8,2,3,10.0,2
8,1555.98,2,6,10.0,2
12,1187.3,2,7,10.0,2
8,2149.38,2,4,10.0,2
9,1309.06,1,2,7.528,2
10,1476.96,2,4,10.0,2
12,1438.68,2,3,10.0,2
10,1941.11,2,3,10.0,2
12,1007.78,2,2,9.987,2
14,1627.05,2,3,10.0,2
8,1508.07,3,4,10.0,2
7,1424.63,2,4,10.0,2
7,1290.37,2,2,10.0,2
11,1641.78,2,2,10.0,2
12,1522.85,3,3,10.0,2
10,1476.2,2,6,10.0,2
16,1382.49,2,4,10.0,2
11,1565.48,2,3,10.0,2
13,1475.51,1,4,7.6228,2
13,1662.68,1,4,7.6516,2
15,1671.29,1,2,7.1426,2
10,1492.7,1,2,7.5279,2
11,1623.92,2,4,10.0,2
7,1533.78,3,4,10.0,2
5,1117.33,2,3,10.0,2
9,1553.41,2,4,10.0,2
8,1671.47,1,2,7.6123,2
10,1691.58,2,5,10.0,2
12,1241.64,2,3,10.0,2
12,1671.61,2,5,10.0,2
7,1141.42,1,6,9.0351,2
11,1629.46,1,6,8.9965,2
6,2534.82,2,4,10.0,2
18,1595.28,2,6,10.0,2
8,1029.34,1,5,8.7454,2
6,1123.78,2,3,10.0,2
10,1598.72,3,4,10.0,2
9,1750.78,2,2,10.0,2
11,1449.04,2,2,10.0,2
5,985.79,2,5,10.0,2
10,1165.61,3,3,10.0,2
10,939.44,2,3,10.0,2
11,1600.64,2,3,10.0,2
10,1765.83,2,6,10.0,2
9,1378.33,3,3,10.0,2
11,1550.73,2,6,10.0,2
10,1712.88,1,5,8.7938,2
12,1726.41,1,6,8.9829,2
4,1901.31,2,5,10.0,2
4,1314.41,1,2,8.2781,2
9,1366.86,3,5,10.0,2
6,1292.48,2,3,10.0,2
11,1629.05,2,4,10.0,2
10,1627.24,3,4,10.0,2
10,1527.96,3,6,10.0,2
12,1644.34,2,4,10.0,2
7,1517.59,2,4,10.0,2
10,2073.7,2,4,10.0,2
11,1777.8,3,3,10.0,2
17,1401.71,2,6,10.0,2
7,1408.6,3,4,10.0,2
12,2217.77,2,4,10.0,2
9,2203.04,2,4,10.0,2
7,1319.49,2,4,10.0,2
12,1405.26,2,4,10.0,2
9,1690.19,2,2,10.0,2
6,1558.32,2,2,10.0,2
10,1289.54,3,5,10.0,2
7,1364.4,2,2,10.0,2
13,1664.69,2,6,10.0,2
13,2231.29,2,6,10.0,2
7,1339.79,2,3,10.0,2
6,1422.09,2,2,10.0,2
11,1513.44,2,5,10.0,2
11,1656.78,1,5,8.7567,2
16,1560.95,2,2,9.7164,2
6,1047.47,2,8,10.0,2
